2 epoch, LR 0.000950, LOSS 0.529485, mAP 0.00%, bestmAP 0.00%
3 epoch, LR 0.000902, LOSS 0.474398, mAP 0.00%, bestmAP 0.00%
4 epoch, LR 0.000857, LOSS 0.448205, mAP 0.00%, bestmAP 0.00%
5 epoch, LR 0.000815, LOSS 0.428623, mAP 91.05%, bestmAP 91.05%
6 epoch, LR 0.000774, LOSS 0.416344, mAP 91.34%, bestmAP 91.34%
7 epoch, LR 0.000735, LOSS 0.404356, mAP 91.99%, bestmAP 91.99%
8 epoch, LR 0.000698, LOSS 0.394242, mAP 92.05%, bestmAP 92.05%
9 epoch, LR 0.000663, LOSS 0.385695, mAP 92.11%, bestmAP 92.11%
10 epoch, LR 0.000630, LOSS 0.377838, mAP 92.91%, bestmAP 92.91%
11 epoch, LR 0.000599, LOSS 0.371262, mAP 92.38%, bestmAP 92.91%
12 epoch, LR 0.000569, LOSS 0.367604, mAP 92.62%, bestmAP 92.91%
13 epoch, LR 0.000540, LOSS 0.357397, mAP 92.84%, bestmAP 92.91%
14 epoch, LR 0.000513, LOSS 0.354203, mAP 92.86%, bestmAP 92.91%
15 epoch, LR 0.000488, LOSS 0.350875, mAP 93.14%, bestmAP 93.14%
16 epoch, LR 0.000463, LOSS 0.344921, mAP 93.59%, bestmAP 93.59%
17 epoch, LR 0.000440, LOSS 0.339824, mAP 93.44%, bestmAP 93.59%
18 epoch, LR 0.000418, LOSS 0.332931, mAP 93.59%, bestmAP 93.59%
19 epoch, LR 0.000397, LOSS 0.330323, mAP 93.47%, bestmAP 93.59%
20 epoch, LR 0.000377, LOSS 0.328644, mAP 93.68%, bestmAP 93.68%
21 epoch, LR 0.000358, LOSS 0.327908, mAP 93.21%, bestmAP 93.68%
22 epoch, LR 0.000341, LOSS 0.318527, mAP 93.60%, bestmAP 93.68%
23 epoch, LR 0.000324, LOSS 0.316759, mAP 93.37%, bestmAP 93.68%
24 epoch, LR 0.000307, LOSS 0.314264, mAP 93.60%, bestmAP 93.68%
25 epoch, LR 0.000292, LOSS 0.310997, mAP 93.63%, bestmAP 93.68%
26 epoch, LR 0.000277, LOSS 0.307753, mAP 93.68%, bestmAP 93.68%
27 epoch, LR 0.000264, LOSS 0.304367, mAP 93.75%, bestmAP 93.75%
28 epoch, LR 0.000250, LOSS 0.300816, mAP 93.72%, bestmAP 93.75%
29 epoch, LR 0.000238, LOSS 0.298913, mAP 93.61%, bestmAP 93.75%
30 epoch, LR 0.000226, LOSS 0.295610, mAP 93.39%, bestmAP 93.75%
31 epoch, LR 0.000215, LOSS 0.294210, mAP 93.26%, bestmAP 93.26%
